Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
1334143423775985664 2020-12-02 20:02:34 +0530 <asmeet_s> Ignorance 🤦🏽‍♀️ #IStandWithFarmers #westandforfarmers,,,,,,,,,,,,
1334140228173320195 2020-12-02 19:49:52 +0530 <ManvirAnttal> @diljitdosanjh #westandforfarmers #TractorToTwitter #westandwithfarmer,,,,,,,,,,,,
1334082926229606400 2020-12-02 16:02:10 +0530 <HarmanpreeK> 🙏 #FarmersProtest  #Farmersprotestschallenge  #TractorToTwitter  #boycottambaniadani  #istandforfarmers  #westandforfarmers,,,,,,,,,,,,
1334038259429621760 2020-12-02 13:04:40 +0530 <Varinde70441302> #bhakto Body k saare holes acche se open krke yeh suno, And agar apke pass thoda dimaag hai to isse samjh bhi lena... #FarmersProtestChallenge  #BoycottKanganaRanautChallenge  #westandforfarmers  🌾🌾🌾🌾🌾🌾🌾,,,,,,,,,,,
1334032117500547072 2020-12-02 12:40:16 +0530 <Varinde70441302> @ndtv BJP's pet dogs will try everything to impress their #chaiwala #papa  This thing shows us how a citizen or a group can be bullied or harassed just to save ones false Ego... Worst govt till date!!  #westandforfarmers  #FarmersProstests  #Farmersprotestschallenge,,,,,,,,,,,,
1334025321922711552 2020-12-02 12:13:16 +0530 <tarunthapar95> #FarmersProtest  #KisaanMajdoorEktaZindabad  #farmerprotestchallenge  #westandforfarmers #StandWithFarmers   #standwithfarmerschallange    #SpeakUpForFarmers  @Pushpinder3k  https://t.co/YUaJikJDTC,,,,,,,,,,,,
1333992072362209282 2020-12-02 10:01:09 +0530 <HapiSingh2> #WeOpposeKisanBill  #NoFarmersNoFood  #supportkisan  #supportindianfarmers  #WeOpposeKisanBill  #shameonindiangovernment  #WeOpposeKisanBill  #westandforfarmers,,,,,,,,,,,,
1333780359733919744 2020-12-01 19:59:52 +0530 <HarmanpreeK> #westandforfarmers #FarmersProtests  #FarmersProtestChallenge,,,,,,,,,,,,
1333706430160007168 2020-12-01 15:06:06 +0530 <Singhkamal93> 🔥👍🏼 #farmersprotest #westandforfarmers #wesupportfarmers,,,,,,,,,,,,
1333658263871647746 2020-12-01 11:54:42 +0530 <HarmanpreeK> #FarmersProtest  #farmersprotestchallenge #istandforfarmers  #westandforfarmers,,,,,,,,,,,,
1333537920976781313 2020-12-01 03:56:30 +0530 <kmanmeet0> #FarmersProtestChallenge #farmersprotest #westandforfarmers,,,,,,,,,,,,
1333503515356966913 2020-12-01 01:39:48 +0530 <Singhkamal93> 🙏❤ #kisaanmajdoorektazindabaad #FarmersBill2020 #farmersprotest #istandwithfarmerschallenge #westandforfarmers,,,,,,,,,,,,
1333430877318045696 2020-11-30 20:51:09 +0530 <SalomRaj9> सत्ता का अहंकार ख़ामोश है और सड़क पर शोर है, एक तरफ तानाशाही मोदी हुक़ूमत एक तरफ किसानों और जवानों का संघर्ष.... राजनीति और कितना शर्मसार होगी.... नेता अपने मतलब के लिए देश तबाह करने को तुले हैं.... #WeStandForFarmers @INCIndia @RahulGandhi @INCMP @boxervijender,,,,,,,,,,,
1333399233135783937 2020-11-30 18:45:25 +0530 <AkashdeepTatla> Tractor’a ton Twitter te aye sare jatt boot da sawagat 🚩 ਟਰੈਕਟਰਾ ਤੋਂ ਟਵਿਟਰ ਤੇ ਆਏ ਜੱਟ ਮੱਤ ਕਿਸਾਨਾ ਦਾ ਸਵਾਗਤ 🚩#westandforfarmers #Standwithfarmerschallenge,,,,,,,,,,,,
1333385907156758529 2020-11-30 17:52:28 +0530 <Singhkamal93> @drpsvvardhan Photo to purani hai bhaiya ji #kisaanmajdoorektazindabaad  #westandforfarmers #istandwithfarmerschallenge #farmersprotest,,,,,,,,,,,,
1333343275902787584 2020-11-30 15:03:03 +0530 <Singhkamal93> #westandforfarmers,,,,,,,,,,,,
1333333925842870273 2020-11-30 14:25:54 +0530 <Singhkamal93> #farmerprotest #westandforfarmers #godimedia,,,,,,,,,,,,
1333304881881501698 2020-11-30 12:30:30 +0530 <Singhkamal93> #westandforfarmers #modikeandhebhakt #FarmersProtests,,,,,,,,,,,,
1333179733534674948 2020-11-30 04:13:12 +0530 <DilRaj54274968> #westandforfarmers #standforfarmers #FarmersAreNotTerrorists,,,,,,,,,,,,
1332973251522269186 2020-11-29 14:32:43 +0530 <AbdulazeemAnsa9> चोकीदार बन के तो देख लिया  अब किसान बन की देख लो #KisanProtest 🙏🏽🇮🇳 #westandforfarmers,,,,,,,,,,,,
1332965358391742464 2020-11-29 14:01:21 +0530 <SandhuuSatinder> @KanganaTeam pagl aurat eh bollywood de actor na smji jina tu bolya te oh kuj nhi kehnge punjabi hune aa asi na galat krde te na hi galat bardaash aa sade  naal soch smj k mooh kholi apna .#kisanektazindabaad #westandforfarmers🌾,,,,,,,,,,,,
1332954587871862785 2020-11-29 13:18:33 +0530 <quirky_wanky> #FarmersProtest #FarmersAbovePolitics #westandforfarmers   Farmer Who Turned Off Water Cannon During Protest Now Booked Under Attempt To Murder, Rioting via @Indiatimes  https://t.co/8BRvoCDTOo,,,,,,,,,,,
1332951226594562048 2020-11-29 13:05:12 +0530 <chandigarhians1> #westandforfarmers #takbackfarmbills #FarmerProtest,,,,,,,,,,,,
1332651874508435457 2020-11-28 17:15:41 +0530 <shahikshatiya> #मरता है #किसान तो #मरने दो,,कोई #सुशांत थोड़ी है  #उजरता है खेत #खलिहान तो उजरने दो,, कोई #कंगना का #मकान थोड़ी  है !!!         #जय_जवान_जय_किसान   #westandforfarmers,,,,,,,,
1332232745674711041 2020-11-27 13:30:12 +0530 <AntvIndia> Kab tak hoga kisano par atyachar Kya kar rahi hai #modisarkar Kuch bhi seh lega Hindustan lekin #anndata #farmer pe atyachar nahi sahega Zarur padne par is baar badlenge apni sarkar💢  #farmers #justiceforfarmers #shamefulact #antvindia #latestnews #westandforfarmers #SaveFarmers  https://t.co/MoUwP7uq0I,,,,,,,,,,,,
1320235593452953600 2020-10-25 10:57:48 +0530 <MS_Laghari95> ہمارا کسان وہ مخلوق ہے جس کی خودی رہی کوئی نہیں۔ پر ایک سے بڑھ کر ایک خدا ہیں۔ روز اتنے طنز و تشنید کا سامنا کرتا پڑا ہے کہ اس کی جگہ پہاڑ ہوں تو ریزہ ریزہ ہو جائے۔ بازاروں میں مزدور بکتے دیکھے تھے۔ حالات یہاں پہنچے ہیں کہ اب کسان بھی بک رہا ہے۔  #WeStandForFarmers,,,,,,,,,,,,
1318363809568837632 2020-10-20 07:00:00 +0530 <bimbsarrshahare> आमचे मुख्यमंत्री साहेब किती लाजाळू। शेतकऱ्यांच्या बांधावर येऊन शेतकऱ्यांशी संवाद साधायला पण लाज वाटते? एवढाच आमच्या बळीराजाबद्दल मनात द्वेष असेल तर पुन्हा माझ्या बळीराजा कडे येऊन @OfficeofUT साहेब मतांची भीक मागू नका। #westandforfarmers #संपूर्ण_सरसकट_नुकसान_भरपाई #कर्जमाफी,,,,,,,,,,,,
1315755543772884992 2020-10-13 02:15:41 +0530 <thanks558> #WeStandForFarmers   https://t.co/OCVBX8KJHr,,,,,,,,,,,,
1315594161710682113 2020-10-12 15:34:25 +0530 <CharanSingh___> This Is a top tier Banda! He’s using his voice and platform to show solidarity and support for Farmers in Punjab. 🔥🔥🔥 #WeStandForFarmers,,,,,,,,,,,,
1315593569814667264 2020-10-12 15:32:04 +0530 <LifeofMann> Superb 🔥👌🏽  #westandforfarmers ✊🏾,,,,,,,,,,,,
1315553427271843845 2020-10-12 12:52:33 +0530 <RafSaperra> Some sentiments in honour and support for the farmers in Panjab.   Let ‘em know that #WeStandForFarmers   https://t.co/LZJWzziJFU  https://t.co/2FyzOR3g7P,,,,,,,,,,,,
1308734256764432388 2020-09-23 17:15:36 +0530 <advocate_mondal> @Chef__RickyAITC @MahuaMoitra @KBanerjee_AITC #WeStandForFARMERS,,,,,,,,,,,,
1308733302640009216 2020-09-23 17:11:49 +0530 <aitcRicky> আজ সংসদ অধিবেশন এর দশম দিন- চাষিদের পক্ষে প্রতিবাদ সভা। কৃষকদের জন্য তৃণমূল কংগ্রেসের লড়াই চলছে চলবে!  @MahuaMoitra @KBanerjee_AITC মমতা ব্যানার্জী জিন্দাবাদ তৃণমূল কংগ্রেস জিন্দাবাদ #काला_कानून_संविदा_वापस_लो #FarmBill2020 #WeStandForDemocracy #WeStandForFarmers  https://t.co/6qnzDZyi5H,,,,,,,,,,,,
1306999691238764549 2020-09-18 22:23:03 +0530 <PritamBehura> The debates level is so high and it should be have this type...... No other things except debate topic 👍 @PandaJay @mp_office @IndiaToday @SachinPilot @sardesairajdeep #westandforfarmers  https://t.co/Drodj3JGAv,,,,,,,,,,,,
1209001962097672192 2019-12-23 12:15:04 +0530 <DairyGyanIndia> भारतवर्ष के हर एक किसान को डेरी ज्ञान की तरफ से किसान दिवस की हार्दिक शुभकामनाएँ। #kisan #indianfarmers #dairygyan  #farming #westandforfarmers #salute #farmersday  https://t.co/aBLIGB91kn,,,,,,,,,,,,
816841908982906880 2017-01-05 08:31:01 +0530 <ranjithanbu22> தன்னீர் வராம அந்த விவசாயி தற்கொனல பண்ணிகிட்டானா அவர்கள் குடும்பங்கள் நக்சல்களின் பானதனய பின்தொடரும் அபாயம் உள்ளது #westandforfarmers,,,,,,,,,,,,
[!] No more data! Scraping will stop now.,,,,,,,,,,,,
found 0 deleted tweets in this search.,,,,,,,,,,,,
